,SKM_old_train_01.xml,SKM_old_train_02.xml,SKM_old_train_03.xml,SKM_old_train_04.xml,SKM_old_train_05.xml,SKM_old_train_06.xml,SKM_old_train_07.xml,SKM_old_train_08.xml,SKM_old_train_09.xml,SKM_old_train_10.xml,SKM_old_train_11.xml,SKM_old_train_12.xml,SKM_old_untr_01.xml,SKM_old_untr_02.xml,SKM_old_untr_03.xml,SKM_old_untr_04.xml,SKM_old_untr_05.xml,SKM_old_untr_06.xml,SKM_old_untr_07.xml,SKM_old_untr_08.xml,SKM_old_untr_09.xml,SKM_old_untr_10.xml,SKM_old_untr_11.xml,SKM_old_untr_12.xml
AHEXASE2ly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.369806099505962e-16,0.048566935476840684,6.061299841147783e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4809524362910584,0.0,-1.7154340532103303e-14,0.0,1.151098105667092,0.0
AICART,0.0003923184357826675,-4.850968886806015e-15,0.11733729743558488,0.0,0.0,0.0,-2.9605947323337506e-16,3.6699537771469636e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.643232888779619e-14
AKGDm,79.35609657844354,54.02324260376833,0.0,0.0,53.13290996164323,4.877376999716273,0.0,39.69836496840998,53.731966074756784,25.896942567967958,23.81128813732109,57.151854858311935,8.784828231929842,0.0,39.70065206683441,0.0,28.552655735699556,0.0,41.45801631626509,42.46484693692746,22.033073257892138,26.464885535846616,0.0,0.0
AKR1C42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8688892806890954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKR1D2,0.0,0.0,0.0,0.0,0.0,0.1785299089803627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALASm,0.0,3.2768939393375565,0.0,0.0,0.0,4.877376999716278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.328531107104186,0.0,0.0,0.0,0.2689475599307972,0.0,0.0,0.0
ALATA_L,0.0,37.208563616527435,8.459511934685938,56.79938730435873,0.0,38.03071711701873,4.6221566575435067e-14,35.942449149257975,33.459959760135675,0.0,0.0,18.916436830724564,46.78453623452581,62.85355129338108,51.46928370434449,0.0,37.208563616527464,0.0,15.956164127973492,13.639517289618261,0.1344737799652199,0.0,14.226609279292404,0.0
ALCD21_L,0.00010958630106046271,0.0,0.0,8.700789304642345,0.0,0.0,0.0,-5.92306980428791e-15,0.0,0.0,0.0,0.0,17.569656463859726,0.0,0.0,0.0,0.0,0.0,42.819465146904506,0.0,3.3030005495704873,0.0,39.62750590452905,0.0
ALCD22_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.819465146904506,0.0,3.3030005495704873,0.0,39.62750590452905,0.0
ALCD2if,0.0,0.0,13.976762227954705,0.0,20.156721362071977,0.0,0.0,0.0,0.0,0.0,52.35603618332639,0.0,0.0,0.0,0.0,0.0,0.0,35.376229445893,0.0,0.0,0.0,16.22010626554178,0.0,0.0
